cliente;linha_origem;categoria;material;marca;codigo;pagina_catalogo;acabamento;aplicacao;quantidade;unidade;temperatura_led;distribuicao_led;observacoes;texto_original
SICOOB;32;tinta;VERDE MERCEDES 6158;;6158;;;;;;;[];;VERDE MERCEDES 6158
SICOOB;32;tinta;VERDE GREEN FOREST;;;;;;;;;[];;VERDE GREEN FOREST
PUBLICOLOR;33;tinta;AMARELO PUBLICOLOR;;;;;;;;;[];;AMARELO PUBLICOLOR
PUBLICOLOR;33;tinta;ROXO VIOLETA FD RAVELO (PUBLICOLOR);;;;;;;;;[];;ROXO VIOLETA FD RAVELO (PUBLICOLOR)
PERFIL;34;tinta;ANEL ESMERALDA;;;144;;;;;;[];;ANEL ESMERALDA – (PAG 144)
VITAR;35;tinta;MUNDO VERDE SINTETICO SUVINIL;Suvinil;;;;;;;;[];;MUNDO VERDE SINTETICO SUVINIL
ATACADAO BOA SORTE;36;tinta;AMARELO CROMO SINTETICO;;;;;;;;;[];;AMARELO CROMO SINTETICO
ATACADAO BOA SORTE;36;tinta;VERMELHO FLEH;;;;;;;;;[];;VERMELHO FLEH
ATACADAO BOA SORTE;36;tinta;AZUL INTENSO;;;;;;;;;[];;AZUL INTENSO
LILICA E TIGOR;37;tinta;PAPEL PICADO TOQUE DE SECA SUVINIL;Suvinil;;;;;;;;[];;PAPEL PICADO TOQUE DE SECA SUVINIL
DETALHE PERFEITO;38;tinta;MARRON FLORENCE;Visual;;;;;;;;[];;MARRON FLORENCE (VISUAL)
HP;39;tinta;VERMELHO FLEX;;;;;;;;;[];;VERMELHO FLEX
HP;39;tinta;PRETO CADILAC;;;;;;;;;[];;PRETO CADILAC
AVATIM;40;tinta;VERDE;Visual;;;;;;;;[];;VERDE (VISUAL)
BODYUP;41;tinta;CINZA CHASSIS VOLVO CUNZOLO;Visual;;;;;;;;[];;CINZA CHASSIS VOLVO CUNZOLO (VISUAL)
CONSTANT OFFIC;42;tinta;NIQUEL (CINZA);;;;Fosco;;;;;[];;NIQUEL (CINZA)- FOSCO
CONSTANT OFFIC;42;tinta;PRETO INTENSO;;;;Fosco;;;;;[];;PRETO INTENSO (FOSCO)
DELÍCIAS D'ANA;43;tinta;FLOR DE PRIMAVERA;Coral / referência Visual;;215;;;;;;[];Consultor conversou com a cliente e mudou a tinta ROSA PASTEL para FLOR DE PRIMAVERA.;FLOR DE PRIMAVERA (VISUAL) - CORAL - PAG 215
FARMA LIDER;44;tinta;AZUL GP;;;;;;;;;[];;AZUL GP
FARMA LIDER;44;tinta;VERMELHO FLASH;;;;;;;;;[];;VERMELHO FLASH
POLO VEICULOS;45;tinta;AZUL RAL;2B;;;;;;;;[];;AZUL RAL (2B)
VEREDAS;46;tinta;LARANJA VEREDAS;;;;;;;;;[];;LARANJA VEREDAS
RHOME;47;tinta;LARANJA SCANIA;;;;;Laranja Rhome;;;;[];;LARANJA RHOME - LARANJA SCANIA
RHOME;47;tinta;PRETO CADILAC;;;;;ACM na cor preto;;;;[];;PRETO CADILAC - ACM NA COR PRETO
PRO MIX;48;tinta;LARANJA SCANIA;;;;;;;;;[];;LARANJA SCANIA
BETEL;49;tinta;MOLHO DE MOSTARDA;Coral / referência Visual Tintas;;;;;;;;[];;MOLHO DE MOSTARDA - CORAL - VISUAL TINTAS
BETEL;49;tinta;PRETO BRILHO;;;;Brilho;;;;;[];;PRETO BRILHO
CORREGEDORIA TJ;50;tinta;OURO REAL;;;;;;;;;[];;OURO REAL
CORREGEDORIA TJ;50;tinta;BRANCO FOSCO;;;;Fosco;;;;;[];;BRANCO FOSCO
VITE ARQUITETURA;51;tinta;VERDE VITE;Visual Tintas;;;;;;;;[];;VERDE VITE (VISUAL TINTAS)
VITE ARQUITETURA;51;tinta;AMARELO VITE;Visual Tintas;;;;;;;;[];;AMARELO VITE (VISUAL TINTAS)
FIER;52;tinta;AZUL FIER;;;;;;;;;[];;AZUL FIER
FIER;52;tinta;OLHAR ENCANTADOR;;;149;;;;;;[];;OLHAR ENCANTADOR PAG 149
AMADEIRADO (NETO LOUREIRO);54;tinta;MARRON TUNDRA;;;;;;;;;[];;MARRON TUNDRA
CLINICA PERFIL;55;tinta;ENFEITE;Coral;;113;;;;;;[];;ENFEITE - PAG 113 - CORAL
CLINICA PERFIL;55;tinta;VERDE CLASSICO;Coral;;139;;;;;;[];;VERDE CLASSICO - PAG 139 - CORAL
CENTRO RAD;57;tinta;AZUL ESCURO CENTRO RAD;Visual;;;;;;;;[];;AZUL ESCURO CENTRO RAD - VISUAL
CENTRO RAD;57;tinta;AZUL CLARO;Visual;;;;;;;;[];;AZUL CLARO - VISUAL
CENTRO RAD;57;led;LED BRANCO FRIO 8K;;;;;;;módulo;Branco frio 8K;[];;LED BRANCO FRIO 8K
CENTRO RAD;57;adesivo;ADESIVO TRANSPARENTE;;;;;;;;;[];Impressão em 24 passos;ADESIVO TRANSPARENTE - IMPRESSÃO 24 PASSOS
MASCOTE;58;tinta;AMARELO CLUB PET;;00800040;;;;;;;[];;AMARELO CLUB PET 00800040
MASCOTE;58;tinta;ROSA CLUB PET;;00800041;;;;;;;[];;ROSA CLUB PET00800041
MASCOTE;58;tinta;ROXO CLUB PET;;00800042;;;;;;;[];;ROXO CLUB PET 00800042
